Temp,39Ar,std_39Ar,seconds_per_extraction_step
250,1.516,0.1516,
275,3.107,0.31070000000000003,214.81372112047248
300,3.445,0.34450000000000003,388.01541056276494
325,2.699,0.2699,358.1187967646582
350,4.999,0.4999,856.1801633278769
375,8.03,0.8029999999999999,1153.4407425480556
400,8.098,0.8098000000000001,993.4834776768736
425,7.827,0.7827000000000001,688.313004059056
450,7.492,0.7492000000000001,459.9161560131895
475,7.148,0.7148,262.29878940967177
500,7.059,0.7059000000000001,242.86531764723836
525,7.034,0.7034,223.5005314039856
537,7.206,0.7206000000000001,251.55704524370185
551,7.193,0.7193,273.9503716502952
562,7.368,0.7368000000000001,236.491430960829
575,7.442,0.7442000000000001,145.84575522869525
600,7.557,0.7557,125.03280622312607
625,7.694,0.7694000000000001,111.601808100392
650,7.746,0.7746000000000001,84.24603498489616
675,7.698,0.7698,77.96667211782686
700,7.83,0.783,62.26500817710257
725,7.859,0.7859,
750,7.852,0.7852000000000001,
800,8.035,0.8035000000000001,
900,8.672,0.8672000000000001,
1000,10.887,1.0887,
1100,15.54,1.554,
1200,41.92,4.192,
